"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.971777",0,0,0,1,0,1,0,0,0,0,1,0,0,1
"DATA.971773",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.949178",0,0,1,0,0,1,0,0,0,1,1,0,0,1
"DATA.949177",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.949176",0,0,0,0,0,1,0,0,0,1,0,1,0,1
"DATA.949175",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.949173",0,0,0,0,0,1,0,0,0,0,1,0,0,1
"DATA.949171",0,0,0,1,0,1,1,0,0,1,1,1,0,1
"DATA.949170",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.949168",0,0,0,0,0,1,1,0,1,0,0,0,0,0
"DATA.949166",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.949165",0,0,0,1,0,1,0,0,1,1,1,0,0,1
"DATA.949164",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.949163",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.949161",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.949157",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.949156",0,0,0,0,0,1,0,0,0,1,1,0,0,1
"DATA.949155",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.949153",0,0,0,0,0,1,0,0,0,1,1,0,0,1
"DATA.949088",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.946373",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DATA.946368",0,0,0,1,0,1,0,0,0,0,1,1,0,1
"DATA.946367",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.946359",0,0,0,1,0,1,0,1,0,0,0,0,0,0
"DATA.946358",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.946356",0,0,0,1,0,1,1,1,1,1,0,0,0,1
"DATA.946355",0,0,0,1,0,1,1,1,0,0,0,0,0,1
"DATA.925345",0,0,1,1,0,1,0,0,1,1,0,0,0,1
"DATA.925343",0,0,0,1,0,1,0,0,1,1,0,1,0,1
"DATA.924247",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.924239",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.924188",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.924186",0,0,0,0,0,1,0,0,1,1,0,0,0,1
"DATA.924110",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.917486",0,0,0,0,0,1,0,0,0,1,0,1,0,1
"DATA.910948",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.910947",0,0,1,1,0,1,0,0,0,1,0,1,0,1
"DATA.910944",0,1,1,1,0,1,0,0,0,1,0,0,0,1
"DATA.910943",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.910942",1,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.910935",0,0,1,0,0,1,0,0,0,0,0,1,0,1
"DATA.910934",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.910933",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"DATA.910921",0,0,0,1,1,1,0,0,0,0,0,1,0,1
"DATA.910919",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.910906",0,0,0,0,0,1,0,0,1,0,0,0,0,1
"DATA.910905",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.910861",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.910710",1,0,1,1,0,1,0,0,1,1,1,0,1,1
"DATA.910706",0,1,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.910703",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.910700",0,0,0,1,0,1,0,0,1,1,0,0,0,1
"DATA.910697",0,0,0,1,0,1,1,1,0,0,0,0,0,1
"DATA.910692",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.910691",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.910688",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.910687",0,0,0,1,1,1,0,0,0,1,0,0,0,0
"DATA.910569",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.910567",0,0,0,0,0,1,0,0,0,1,1,0,0,0
"DATA.910566",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.910554",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DATA.910546",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.910545",0,0,0,0,0,1,0,0,0,0,0,0,0,1
