"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.971777",0.57,3.55,2.18,-2.42,1.2,-3.32,3.63,1.89,3.39,2.3,-1.89,0.99,1.37,-4.67
"DATA.971773",3.24,2.64,2.43,0.58,3.2,-3.37,2.63,2.23,2.66,1.56,1.94,2.87,1.72,-0.28
"DATA.949178",4.49,1.78,0.35,1.53,4.43,-0.07,3.11,3.11,2.47,-1.07,-1.34,3.37,2.71,-2.03
"DATA.949177",4.2,2.08,1.03,-1.23,1.44,-5.33,1.32,2.89,1.27,0.15,1.59,2.93,2.85,0.62
"DATA.949176",1.8,3.22,2.8,0.84,4.83,-1.62,1.04,1.29,0.66,0.03,1.06,0.35,3.16,-1.74
"DATA.949175",1.76,3.53,3.82,0.01,5.3,-3.07,0.65,3.06,2.41,-0.02,1.95,4.15,2.28,-0.44
"DATA.949173",4.33,3.92,1.7,1.92,4.5,-1.84,2.6,3.76,2.6,1.89,0.21,2.84,3.45,-0.3
"DATA.949171",1.98,1.69,3.01,-0.04,4.66,0.25,0.14,3.06,1.43,0.07,0.08,0.45,3.12,0.3
"DATA.949170",2.33,3.67,2.18,1.66,5.51,-0.1,3.69,3.66,3.06,-1.69,0.8,1.19,3.8,-2.31
"DATA.949168",4.38,3.08,2.52,1.75,4.01,-2.84,-0.8,0.8,-0.43,0.52,3.76,3.72,2.97,0.96
"DATA.949166",4.95,2.85,3.19,2.76,5.04,0.45,3.63,3.49,3.23,2.24,3.67,4.17,1.32,1.46
"DATA.949165",2.13,1.58,2.06,-0.09,2.95,-5.19,1.48,1.68,0.19,-2.1,-0.84,2.88,3.03,-0.73
"DATA.949164",3.61,2.34,0.8,1.79,2.48,-0.68,3.42,3.31,2.88,1.61,2.61,3.79,1.79,1.38
"DATA.949163",4.35,2.97,1.68,1.75,3.91,-5.49,2.56,2.24,2.77,-2.1,1.37,3.16,2.97,-0.32
"DATA.949161",3.6,2.41,2.52,1.62,4.99,-2.29,3.62,3.61,3.04,0.8,0.86,4.03,3.37,1.1
"DATA.949157",5.15,1.36,1.47,1.21,4.38,-3.36,1.03,1.78,2.55,-0.51,0.51,2.56,3.78,-0.8
"DATA.949156",0.98,2.72,3.6,0.89,3.37,-5.33,1.13,0.96,1.14,-0.72,0.48,3.56,2.61,0.29
"DATA.949155",3.17,2.5,0.94,-2.17,4.35,-5.05,2.49,2.17,2.26,-0.09,-0.58,2.19,2.58,-2.37
"DATA.949153",1.43,2.03,1.57,1.77,2.92,-0.61,2.31,2.79,1.86,-0.35,-0.17,1.51,0.87,-2.12
"DATA.949088",1.46,3.92,2.54,1.09,2.59,-2.87,2.47,4.01,1.9,2.34,-0.28,2.59,2.59,1.93
"DATA.946373",1.24,3.39,3.03,2.16,3.55,0.75,0.66,0.57,4.06,3.16,0.71,-0.1,4.34,-2.04
"DATA.946368",3.95,3.79,2.41,-3.17,4.9,-2.54,2.91,3.06,3.79,2.04,-0.83,0.08,3.05,-2.68
"DATA.946367",1.41,3.76,0.85,-2.14,4.31,-2.57,2.24,2.19,1.97,2.15,0.58,2.83,4.03,0.88
"DATA.946359",4.81,3.5,2.84,-3.32,5.26,-1.86,3.08,-1.03,2.89,3.39,3.94,3.98,3.7,0.7
"DATA.946358",1.69,2.36,2.62,-0.77,1.67,-0.15,2.82,2.59,2.45,2.77,1.33,3.43,0.76,-2.51
"DATA.946356",5.11,2.81,1.53,-1.43,3.19,-3.77,-2.61,-0.63,-1.09,-0.65,3.31,2.18,3.74,-2.05
"DATA.946355",4.47,3.68,3.73,-1.42,5.49,-5.04,0.18,0.41,1.65,1.05,1.92,3.77,3.89,-1.32
"DATA.925345",3.34,1.17,-0.98,0.16,2.61,-5.05,0.64,2.52,-0.35,-2.34,2.48,2.13,1.02,-0.56
"DATA.925343",1.05,3.59,0.9,-1.37,5.29,-5.9,3.35,2.23,0.48,-1.3,0.64,0.12,3.54,-3.91
"DATA.924247",1.2,3.2,1.41,-1.14,3.95,-6.25,1.39,0.62,1.38,-0.99,-0.42,0.5,2.54,-1.55
"DATA.924239",3.07,2.75,2.24,-0.51,4.32,-4.7,2.79,2.79,2.7,-0.11,1.22,2.39,1.66,-0.47
