"","intercept","IKZF1 (10320)","PTPN7 (5778)","RASAL3 (64926)","CD53 (963)","GMFG (9535)","INPP5D (3635)","PTPRC (5788)","CNN3 (1266)","PPIC (5480)","WAS (7454)","SPN (6693)","NCKAP1L (3071)","ITGAL (3683)","TJP1 (7082)","MYO1G (64005)","FAM78A (286336)","KLHL6 (89857)","TRAF3IP3 (80342)","ARHGAP15 (55843)","ARHGAP29 (9411)","TSPAN6 (7105)","TNFAIP8L2 (79626)","AMOTL2 (51421)","ENAH (55740)","PRSS57 (400668)","BTK (695)","SNX20 (124460)","PLEK (5341)","PLS3 (5358)","TMEM132A (54972)","SPI1 (6688)","GAPT (202309)","CD300A (11314)"
"22RV1_PROSTATE",1,-0.503275458877791,-0.538091153952658,-0.439153850874778,-0.490204108186122,-0.588110901958406,-0.709063818992133,-0.397066797871192,0.0652346335695677,0.353892823167647,-0.401657388628456,-0.531248350283019,-0.48524360667765,-0.464706611830099,0.357761536804923,-0.45413201021812,-0.795302475439741,-0.447542503784446,-0.469873383280771,0.313613069291926,-0.0016129509737688,-0.586208544436509,-0.103208187219926,-1.10808300487368,0.0179964002101022,-0.294264412200355,-0.430801942155973,-0.383623056003365,-0.398392026456987,0.484365448492967,-0.0301800899198559,-0.314521482990004,-0.299341124816116,-0.32658519816654
"5637_URINARY_TRACT",1,-0.496448146810141,-0.532018338522212,-0.342146457121029,-0.532387288026965,-0.378300351176822,-0.664397527519642,-0.408187479455812,0.746712279245665,0.180878704452362,-0.525328575130767,-0.518201309686961,-0.505942869789658,-0.507046927635406,0.750596655979786,-0.46747571570111,-0.795302475439741,-0.45645509726765,0.438176464932534,-0.534836012167202,0.992457217054872,1.10849926385469,-0.456682823568931,0.883454030739453,0.118293908483295,-0.294264412200355,-0.423994335610183,-0.383623056003365,-0.418853856458992,0.672030684936237,1.44478203199144,-0.373582225066154,-0.299341124816116,-0.32658519816654
"639V_URINARY_TRACT",1,-0.496448146810141,-0.526005354758422,-0.47136494369347,-0.510915587158838,-0.677887111336648,-0.689560441191017,-0.498205753511038,0.561242169147518,-0.107850019143219,-0.45564062609919,-0.474469828700243,-0.48524360667765,-0.478547725668448,0.169451576017449,-0.434590051435259,0.0166940640549993,-0.447542503784446,-0.495317762224038,-0.542348530146358,0.822258804689135,0.666091484320981,-0.347317354494763,0.598318286146833,0.440581246690094,-0.248457164261644,-0.397380041686042,-0.383623056003365,-0.398392026456987,-0.127683792672607,0.941301390602035,-0.23985833878883,-0.286773896820397,-0.302801353909071
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1,2.08957617827644,1.48703575029405,1.6245025796876,2.2938895350537,2.60168079813514,1.33614665668379,1.66110325244517,-0.234240971138659,-1.98878974701206,2.09986645036114,1.89223016371034,2.13811348587407,-0.44442706754713,-2.15593562124556,1.44407683211696,1.76826547978442,1.66239642536688,1.00413749700623,2.05523168898953,-0.495203133026033,-1.89650180608403,1.34710337737453,-1.7184384778444,0.290806680646798,1.24270308066494,1.26377145781322,1.18869762382977,0.122016781519947,1.3510020219048,-0.0311569156018024,0.155497915880528,-0.299341124816116,-0.279479361180735
"769P_KIDNEY",1,-0.489687443726968,-0.468925193644376,-0.496347000063941,-0.537880644632532,-0.677887111336648,-0.622487790608965,-0.504669889601887,0.597156346163686,0.702082036353194,-0.602741663968424,-0.468452855194114,-0.465138663629626,-0.174665335043816,0.748917222450392,-0.447556082140908,-0.848467044473624,-0.45645509726765,-0.521671058889307,-0.470330941669261,1.07324947558416,-0.185685829792409,-0.456682823568931,0.336414843461475,0.621872086987843,-0.294264412200355,-0.444610133437773,-0.371219078059683,-0.411967766265523,0.551569846332747,1.51854715019866,-0.404839380757632,-0.286773896820397,-0.32658519816654
"8305C_THYROID",1,-0.496448146810141,-0.44226973831545,-0.487938137391964,-0.409545014687683,0.891872125787577,-0.695999551000731,-0.41949990634932,1.12269262225316,0.161273933761181,-0.503136841251887,-0.155056180809607,0.163177030453103,-0.45112422560921,0.502218534027922,-0.46747571570111,-0.150529841678196,-0.45645509726765,-0.549000622805883,-0.0715007844483137,1.32631801452056,0.276467310284683,-0.479839189497419,0.644528189266543,0.0235900689207359,-0.248457164261644,-0.444610133437773,-0.371219078059683,-0.405147572682579,1.01544714400532,0.630934950703919,-0.365955800245045,-0.299341124816116,-0.291083749877109
"8505C_THYROID",1,-0.489687443726968,-0.491120836578152,-0.487938137391964,-0.490204108186122,-0.695924728770555,-0.709063818992133,-0.324091157491062,0.858357469429416,0.515813412673662,-0.425679715185994,-0.480542258964939,1.50752587147588,-0.362554634429684,0.699792503669726,-0.481083670077984,-0.72864798130805,-0.45645509726765,-0.542072742163299,-0.557597087540026,1.41493381061496,0.500390287231087,-0.445274359746517,1.45425240376517,-0.17739481793733,-0.266512765816306,-0.444610133437773,-0.371219078059683,-0.432828907954488,0.797683044324604,-0.208078428406869,-0.404839380757632,-0.2021396382507,-0.32658519816654
"A172_CENTRAL_NERVOUS_SYSTEM",1,-0.496448146810141,-0.474398888767242,-0.487938137391964,-0.490204108186122,-0.520931157661542,-0.405627855955986,0.120744663457221,0.547074855491149,0.866658583622104,-0.369355493699613,1.35752924614869,-0.420357029199326,-0.344902677180955,0.248741304529711,0.558568364353425,-0.30968064588507,-0.45645509726765,-0.488873932028553,-0.534836012167202,-0.216838419934469,-1.87628262382381,-0.336922990351347,0.871445339372301,0.901520468133754,-0.294264412200355,-0.47303360609899,-0.358937308782149,-0.405147572682579,-0.200924316005761,1.15396238580706,-0.365955800245045,-0.2021396382507,-0.32658519816654
"A204_SOFT_TISSUE",1,-0.378077168842581,-0.350429270462538,-0.487938137391964,-0.422994760590467,-0.473181614825698,-0.462821311447256,-0.41949990634932,1.28215895690091,0.894986858272036,-0.140639916912134,-0.353339885483707,-0.445594862644324,-0.344902677180955,-0.217817917002742,-0.421864146263659,-0.600544768709885,-0.438717720531675,0.804772028176537,-0.304024315950133,-1.32691051457899,-0.580167282184792,-0.445274359746517,0.124969869834591,0.190426510689009,-0.0923044379249448,-0.277141027051124,-0.371219078059683,-0.304064512936561,0.0120116998428792,0.489654792087508,-0.0978024638988603,-0.286773896820397,-0.0877563910530871
"A2058_SKIN",1,-0.496448146810141,-0.416729906656993,-0.47136494369347,-0.505668572794506,-0.611167356650533,-0.664397527519642,-0.485465459882019,0.690981827857175,0.469236153660261,-0.58410106848953,-0.427805799261102,-0.471776382353245,-0.437791071599977,-0.328892567459137,-0.447556082140908,0.240112716894619,-0.447542503784446,-0.528409131907247,0.468360701174843,-0.684984821584395,0.134494004170607,-0.247311294010266,0.243838834108385,0.478213847921853,-0.196284723502356,-0.397380041686042,-0.371219078059683,-0.405147572682579,0.545930451295444,0.225885164462969,-0.33615960795462,-0.249805521264294,-0.302801353909071
"A2780_OVARY",1,-0.503275458877791,-0.463500154232879,-0.447093374707689,-0.0745994280955965,-0.569614614271886,-0.202855300862268,-0.466807202376471,0.44875739917183,-1.91773472025958,-0.396950428720384,-0.468452855194114,-0.492075603133753,-0.411837008858413,0.382455643990293,-0.441042486073361,1.19587399523585,-0.447542503784446,-0.542072742163299,-0.477237059576322,-1.47844857372799,1.45333844376551,-0.379066588004441,0.0876035492109339,0.81191662560678,-0.230742254843486,-0.451613176605482,-0.371219078059683,-0.385070053712067,0.103532373610039,0.708841292462738,-0.358401664898527,-0.286773896820397,-0.314634404174286
