"","SARM1_45","TNFRSF12A_133","LCP2_584","GNA15_793","TNFRSF1A_974","CRMP1_1173","ACTL6B_1328","AMPH_1367","CTTN_1623","FXYD5_1784","TBC1D2_1968","CHGA_2275","EMC9_2319","BRMS1L_2320","CELF4_2455","NOL4_2474","PCSK1N_2536","PYCARD_2715","SCG3_2763","GDAP1_2800","GSDMD_2818","APLP1_2951","PLIN3_2961","CLEC11A_2993","CARD8_2995","C10orf54_3311","ENO2_3777","CCND3_3915","AVPI1_4793","TGFBI_4881","SDC4_5229","SEPT6_5393","KCNC1_5830","GADD45G_5940","KIF1A_5950","ZCCHC9_6183","PTPRE_6259","SNAP25_6317","BEX2_6409","DUSP26_6481","TAOK3_6675","THBS1_7175","ARHGAP29_7216","MYOF_7256","ASCL1_7451","NOVA1_7525","CYR61_7902","HCN3_8051","TAGLN3_8221","PLK2_8311","EGFR_8448","PRSS23_8877","CACNA2D4_8907","FAM177A1_8936","LMNA_10010","NELL1_11139","HPS6_11193","RIC3_11248","SEC11C_11289","LAIR1_11511","KIF5C_11688","ENHO_11828","PPIC_11835","KSR2_12344","ID4_12514","INSM1_12749","TIGD3_12825","B3GNTL1_13129","RIMS2_13236","CDK5R1_13284","PLEC_13517","NRXN1_13758","GPR137C_13913","DDX60L_13962","PCP4_14240","TCEAL2_14587","PRSS57_14649","IFITM2_14650","AHNAK2_14723","C16orf54_14791","ZNF793_15217","SBK1_15236","TMEM198_15315","ELAVL3_15529","WNK3_15608","GDI1_16289"
"DATA.971777",3.77858224643222,8.24442246849621,3.18168410745657,3.18288339837017,4.88330661512581,2.98107015757965,2.77023507742825,3.00691799772303,7.2141237209842,7.25972696327819,4.23437927372768,3.06957442045089,6.61944854783021,5.03855655929356,3.05032641058951,3.14148324363021,3.63130421967258,2.86381379477301,3.84535396121647,6.08297894786876,5.03587914358577,4.23632634300078,7.56198082269852,4.97468073370718,4.41982809445624,3.17909251153354,5.36116237771064,4.19811205454197,8.13802356915886,3.22391708444359,7.57045793039629,3.92558173365332,2.8888958960379,3.04953795184817,3.27270919580339,9.00409959240624,3.81618300714105,2.97642594209101,6.52821793811699,3.51877081742353,6.85592900415106,3.201870584197,3.70305683803127,7.15645504804588,3.44903614592405,3.04267838712359,6.26848188761336,3.29764273720629,3.79567890436538,5.98427728963157,3.20642148986308,10.6159603469331,6.23373833990925,7.22121687610796,9.37370100957338,3.1552865504494,6.44201205133084,2.92361691852737,5.60001646111302,3.07213258395313,3.11288072069778,4.26280575252532,8.27756817200123,2.58146070159798,6.32089859934664,3.02479247943637,3.17253225821749,4.42084323514317,3.9514715037057,5.19627919642705,4.56971647755955,2.9255752455383,3.73149531126972,6.12800965548867,2.61211649961127,3.30545182085948,3.17761958363765,10.9106860730435,3.63232930133055,2.82658821747291,2.96485913481304,4.07893356765355,4.06943828216568,3.0795496602902,3.91846397624642,3.36845360588633
"DATA.971773",3.668719800916,6.9915563673731,2.69613466068392,3.31486428969433,5.18505990371994,4.39063224391853,2.71327522398933,3.03201351085137,6.23515937419744,8.70354358595287,3.90836742491122,3.09667241086533,7.20181436583192,4.53257241868099,3.03802384786989,3.03568802471047,6.08051539414309,5.14587698781007,2.86583357815582,6.68305514112828,4.10026482905772,6.09651741584964,7.61719626466004,4.57578184595261,4.85958842754591,2.9753897539826,7.47813364973423,3.07002580330492,6.70643077755164,3.16393775107575,5.02111378067737,6.65904184149641,2.88400071174994,5.26020276761277,4.95662729379154,7.70726003314104,3.40254063195354,3.7408852622046,11.1976129847576,8.82535325726645,6.34403608054751,3.17846944019387,3.1051673924676,3.30087051569653,2.94927865785668,3.44909045297396,4.12498182465097,3.20262666207533,3.83861974847092,3.27109291318233,3.4139300903102,3.5289805875918,3.05028673476857,6.82754071232546,6.71218117636241,2.96086194626448,5.55556014512304,2.8398336109796,5.51064068162571,3.37950898352126,3.51783197494915,3.4029427884607,4.10301919897128,2.76356492810424,6.09882781470194,4.34527519768599,3.48986940594254,3.98311928505481,2.85995375057953,3.8566359614152,4.16108197835324,2.82620718085358,3.03853459281953,6.94662486601733,3.33655805933284,2.92999958673949,3.00476821482798,9.20930044116852,3.33215596010993,2.9505898445905,3.15709633844281,5.63046578936724,3.37798552074779,3.91082972514232,5.35143711058031,3.83024537956744
"DATA.949178",4.00068548035215,4.73747902983292,3.00858116810032,3.25989767264223,3.40514108600015,8.0885421478645,3.90916122603138,3.20937350072557,6.5725290606669,4.27884294850954,3.21057670446924,11.7503639453041,6.70912589889334,4.70484547771818,5.98651954883199,8.19596750234808,7.22727169380953,2.85663652482753,7.57258786447225,6.99151806647286,3.77287123470592,5.26717375506203,6.64351447722762,4.06736828716942,4.24388782252521,3.40264366316036,7.16300045262718,3.23573596673778,5.03254863368506,3.32889067386645,5.14517118996284,6.68388554144601,3.71309487249334,5.85930481748754,7.06803769760728,7.80170378651886,3.91375485998626,7.7199046406218,9.93084032661531,5.25667550743241,4.7945479235437,3.70307952023739,3.41833897013016,3.08726680854061,7.38656313934202,3.73323137195985,3.33412870240613,3.95017045205937,8.5251223674385,3.76715960428647,3.33337210714084,3.54392142412702,3.17634495990005,6.63664766974077,6.39575917973501,3.08932195037373,6.30834848111248,4.75889147706614,5.68660064048068,3.20568513145959,4.66618841796672,5.29810983069685,3.15270373075383,2.61868717388795,3.52036798883303,4.6651205906758,3.73686086093271,3.89138131526082,5.52001162096572,4.65273837334164,3.45487638430131,3.28309535574181,5.30623299283058,4.08817895562461,2.83782800225398,2.826092959304,3.40926504206128,3.47284983350503,3.8107491264928,3.07402609419325,3.52979140527093,7.40780237004803,5.2342019048736,7.23220772084814,4.13690796745022,3.52042062188784
"DATA.949177",3.79481062293932,3.70850315750093,2.88494101729602,3.07434710713392,3.53522886587804,8.35944657260754,4.90553026421269,3.80316165041648,6.22288831577858,4.08734585452153,4.10529003481202,10.6366783828274,6.19980253967317,5.39813461692625,3.28267924479256,7.69810277975678,4.99020602941293,2.83494850424819,7.10703067052877,7.33431483649851,3.19703968811923,4.61720229578681,6.61335847840691,3.98262703666535,3.89255829804248,3.28392791487395,7.60301956116944,3.32696780378393,4.6855384717969,3.02648156794571,4.76797847503848,6.89703896817921,3.53901647159364,4.78715280834555,6.4166932076021,7.50157099612592,3.25156328165009,5.96074615216294,10.0976003515864,7.30805889663299,5.54639201465205,3.10693780008385,6.98034011461299,3.21890880542403,10.8525182578256,3.22977345905723,2.96617137873779,3.61607945958905,8.50337361100378,3.57317295037573,3.55043297007845,3.32348063594779,3.04903791342542,6.91808515481186,4.5073436444164,2.98213125618782,5.02967631652056,3.44288702137351,5.51532769328242,3.07323005707138,5.70868179422556,5.56250505102756,4.19509019225224,2.82858356649933,3.82628954002093,5.54832834571607,4.35797909037959,3.84357143947881,4.76366280990462,6.3363225979252,3.59973880644143,3.57814194178953,5.45044448443959,4.51310429214552,12.4482615361564,4.45953452564575,2.99800907202981,3.53401100711423,3.10035220122264,2.92360020224786,3.45337873835285,8.73161241667652,4.34025463840798,6.5960224088512,6.62082348402554,4.08978102813769
"DATA.949176",4.15247917875217,7.51913309702642,2.74266815047532,3.18196488615918,4.37113839450574,7.27114795838986,2.68013287982502,3.04778838555933,7.08788616688092,4.3651626167867,3.26050564115759,4.36222462279503,6.31671440971927,5.13264163487827,3.06176219581135,4.18995407377938,6.36945753501475,2.96507039469339,2.89283970782803,4.54790254808823,3.52797961846376,4.50970661536898,7.69115531909615,3.42586310123968,4.12832006445207,3.23645024915799,6.11965279629678,3.20374465678483,4.81435986235253,3.71165381290828,5.51663347374023,6.98801801633935,3.16229816839839,3.12168439905283,3.90926817027662,7.84710855295253,4.47978270703781,5.16272496882294,6.17698911768104,3.22816124829659,6.29903443495018,3.28160526662358,3.18812712353645,3.73925818208098,8.01509574330585,3.33854446626376,7.23400144237404,3.15365984717294,8.77903797261266,8.72892259728051,3.75394841217642,9.70071363368185,3.06941915213637,7.65030201465561,6.4110415225764,3.12783797110485,6.74752445678417,2.98731595371754,4.31511494529268,2.99857885737,4.22753170059202,3.77242829702594,4.62116326459733,4.46209938771968,5.47313654464908,5.15992325141067,3.41520633998196,3.60873968871197,3.29688275360478,4.29747633991453,4.52471257231839,8.66101141666104,6.26283167340763,6.55582450509181,3.03571056538688,3.03307198590963,2.9589584018907,7.82989662088583,3.85945693463947,3.13725485792253,3.40008621151143,7.48905510969855,3.45428350126695,4.51215740260154,5.70743477968568,3.77845573477746
"DATA.949175",5.17929254703799,4.45616037312781,2.71263902256733,3.25666002249848,3.43847234524105,8.62991545057931,6.31862474187342,5.69173392718506,7.30544627008156,3.56750166225217,3.55128956466561,11.6898477047675,6.32689251997258,4.89520022776465,4.51305950920633,8.01432785519179,7.23798875911597,2.85912703645191,6.63166594664713,7.03347025829808,3.24487489957903,6.23820574620764,6.18980836680192,3.58669846160812,3.98569081463351,3.27866361575515,8.52655157035047,3.46446228948089,4.96767785820728,3.07101850613279,5.12234421149624,6.81968625695682,3.72721074597811,7.53486656954249,7.3851859135956,6.74417560923469,3.69494998591762,8.41834487211945,10.0974932433148,8.38799051177528,5.76067926666058,3.26692083546255,4.8373813148779,3.37266116074943,9.42761113582325,3.59116757310213,3.34634391228115,4.22559143024126,9.7765476422966,6.02867935364028,3.57702239805581,3.73833358761325,3.27003444637832,6.50392741839151,5.32319953200355,7.64142727573747,6.01134956438189,3.28009016595041,5.69613618523402,3.10356926382185,4.94259873803145,5.19300393621134,2.99029478015313,3.29125423412857,4.76801412343233,9.49513686640221,3.89926802635831,3.6224218830603,5.61481201064138,6.22943955375846,3.41428045467001,3.50732938182097,6.11625319830349,3.74720614546842,2.70838597617972,4.66889843622283,3.15294673562245,3.64888544479644,4.41461811655765,3.1770741239041,3.72040677206736,8.19818754126189,5.77337502684202,7.27684765766105,4.37259139669215,3.74012741387886
"DATA.949173",4.74593572149815,4.18154356293921,2.89293905836388,3.19517297302572,3.45515113595443,8.66183377734653,4.87032661604831,3.55174796879367,6.63819257143956,3.8089304134908,3.27549084306043,10.2781406280703,6.74695786965352,5.05107186531426,4.99395537535797,8.46008293695271,6.53246101040869,2.95167828337122,7.47665093866095,7.68142912278485,3.18206575376163,5.81447967123331,7.49225639824752,3.41481018442141,3.92265282558993,3.17980551523884,6.4461774726561,3.37392687091275,4.54431960936876,3.21144512862171,3.272287033478,5.25723646231673,3.1907437245154,3.95378007871268,6.60178566072637,7.4349999994778,3.31832562576643,7.90426081557103,9.63403648427733,7.22787941476899,5.18227284614522,3.46892275149104,3.94832658746116,3.28310500404064,8.77490799236688,3.18039875809541,3.18220713522286,3.50346542506547,10.048832441088,4.36627040738749,3.79092977985382,3.64941734568694,3.11433166574778,7.22017001788018,4.86128856795646,3.30178218850871,5.70928936280722,3.07018991532644,5.20022760853914,3.06569392311045,6.55204624826884,6.39408457685114,3.18095997530365,2.82610381590169,4.03707402015265,7.66396287379309,3.78244371510508,3.6284446015108,4.41135290962817,7.29723804628645,3.18388790461887,4.45376486813447,5.60923602516937,3.69726764236594,3.28812913373432,3.31586637646312,3.26346081566814,3.63985006795455,3.27503076431518,3.03364151133362,4.56518729691282,9.12217134328577,5.15806871969905,8.0695584194312,6.09771377899951,3.82595779275191
"DATA.949171",4.77840208622165,5.53645362893619,2.82778350367255,3.32237784984208,4.96592519685521,6.34979020638184,2.90305503198528,3.1200138701852,6.53934784319901,3.6938830335398,3.75687968531252,10.1953408649742,6.5596158901212,4.75740080547973,3.15182338794024,3.11435096868897,5.38833594924405,3.11680464428147,4.24670805422527,6.53439623075059,3.58010870327681,3.95373240318509,6.01600426944149,3.34096349388855,3.77239850953841,3.35971088712744,6.7143497507193,3.33773806038508,4.61633761124492,3.23257905985502,5.12566858349694,6.5517324990648,2.88621889735922,8.6271111925761,5.91040447435941,7.8438320631907,3.78960463024206,4.65913658112073,8.43231752118112,8.61925438005079,5.65801574453797,3.4753139222942,3.95741328566563,2.95729657824266,9.62926643964139,3.55118979401079,3.32511518118338,3.50299217654773,6.60180046750815,3.66111911281419,3.4487552492013,4.4681535405109,3.23589060869235,6.6963683652694,7.33575503404552,4.07199912770444,7.07348512230036,2.94943236280116,5.56946614777708,2.96679782730207,3.6086299014871,4.04040202729877,3.18748478811694,2.87311103582899,3.7862128615549,5.65965877920554,3.27327923546196,3.73135747894179,4.36858231371327,4.84760923704082,3.88837503229967,3.01748276192214,4.26187153756776,3.5724345390929,2.63233680038601,3.02084955664012,3.32741753172715,4.54855367140733,3.55107323633299,3.08754947517114,3.45639023557731,7.06713332293389,5.18640888341729,5.85395815478288,3.79519093179242,4.30824487497575
"DATA.949170",4.79932672747943,5.32359074323867,2.99463834012761,3.17163408764541,3.73895267521669,8.56596672390317,6.39343909259641,3.23850022272482,7.16378191458757,5.59745250664758,4.64529652536962,12.8631714900516,7.62318670042748,4.84430595181213,4.33534769665665,6.45286688473243,7.68587076465324,3.38062824417517,8.10428159884647,7.45852386734166,3.37283847801484,5.50759689835144,4.67655629408356,3.55705137563684,4.55519918152458,3.27025420783394,8.70428750828557,3.12827097799588,5.07814254131801,3.32379543304247,6.42807761542427,7.78733879318508,3.64879039454427,3.54332869685789,7.00788981069485,7.69575724334837,4.12795987756445,8.2905382486419,10.1817994632829,6.41909220279908,6.40798618457533,3.33280064036155,3.84349835045636,3.70596580723478,4.49506471253673,3.82961637314167,3.53999296045993,3.72211466474354,9.33424636258034,3.47330127054347,3.29191554408836,3.29045333623873,3.17010154626932,8.085350590004,7.93092532045465,7.59435062597361,6.53089798070203,4.15882062054711,5.43469784739729,3.05452023703328,5.27261107377562,5.24692986401379,5.67602272432258,4.09450386897286,3.45014222796094,8.88719541647569,4.32795598479907,3.64525468670741,7.26488385800257,5.65054716194363,4.05172036480374,3.46518308346827,6.06733233191409,5.37761510298224,2.55511992891163,8.2881313774303,3.07313705035374,3.64682952309504,3.979754200066,2.96443295794665,3.42749147547068,7.38324998999394,6.36822008019624,7.24207894234831,4.27491333981595,4.98336820182476
"DATA.949168",3.95998228981629,4.87665639289449,2.87925869343379,3.21346034745722,3.97828240105618,6.40436676878848,2.85181562440304,4.15019158397454,6.54604119634867,6.02921525160147,3.33408617184339,3.38357865172162,6.75348810111304,4.6539347803956,3.27668507074256,8.07170696792959,3.99250878441479,4.90795693844056,3.08632435057585,5.40620078529575,4.29429040483665,3.97586039028748,6.18562147842669,6.18226848292012,3.92717875567163,3.14645420971072,7.44925412416879,3.63214583526781,4.78086043955333,3.25791192885259,5.91155876062914,5.35473565793879,2.95356449927692,5.45022516354365,4.64477606315593,6.8898877475602,3.69782771238169,4.67353745483527,6.27380963316715,4.89377315253887,5.83050539213329,3.45042589188516,4.55008097433074,3.59281382714041,3.07656092835951,3.507951047603,6.31798155770414,3.44268735153938,7.92174578555576,3.34360061456562,3.38283002162753,5.96548609153838,2.99068305037429,6.47319776491528,6.90232755351548,3.33561205631991,5.62906344619972,3.0282626989539,7.35119671461301,3.42165810945797,3.22886658355838,3.44584401233243,3.53516599924362,2.81779932566312,4.67613643174622,6.79442426460896,3.62914586612337,4.1021732301649,3.20610675024508,4.56921340788036,3.80540191101171,3.20518311500258,3.32455134588682,5.7884005541009,8.5227256284998,3.04421911708975,3.11895025784092,8.72632792986253,3.47016995891256,3.07479380364653,2.98952221260522,7.60594449724321,3.54616233880041,3.92282760968159,4.39133110311795,3.2691682267886
