"","intercept","MANBAL (63905)","IKZF1 (10320)","PTPN7 (5778)","RASAL3 (64926)","WASL (8976)","CD53 (963)","GMFG (9535)","INPP5D (3635)","PTPRC (5788)","CNN3 (1266)","RASGRP2 (10235)","PHLDB1 (23187)","PARVA (55742)","RCSD1 (92241)","P2RY8 (286530)","PPIC (5480)","SH2D3C (10044)","CD38 (952)","SH3BP4 (23677)","RHOH (399)","TPM1 (7168)","LAMB1 (3912)","TEAD1 (7003)","WAS (7454)","MYB (4602)","SPN (6693)","NCKAP1L (3071)","GNG12 (55970)","SDC3 (9672)"
"22RV1_PROSTATE",1,0.0859279867443017,-0.503275458877791,-0.538091153952658,-0.439153850874778,1.25485707153734,-0.490204108186122,-0.588110901958406,-0.709063818992133,-0.397066797871192,0.0652346335695677,-0.260665450938186,-0.20484255220514,0.591226607510535,-0.548969530057744,-0.4667233930908,0.353892823167647,-0.540420384083192,-0.497191805730258,-0.805928470307661,-0.14758126443438,0.00966463481082227,-0.561681192067722,-0.215584018295523,-0.401657388628456,0.167986271920992,-0.531248350283019,-0.48524360667765,0.212268553208972,-0.217450549772109
"5637_URINARY_TRACT",1,0.551633545024527,-0.496448146810141,-0.532018338522212,-0.342146457121029,0.501053995237004,-0.532387288026965,-0.378300351176822,-0.664397527519642,-0.408187479455812,0.746712279245665,-0.428853204260061,0.82632528399507,1.14554602340581,-0.467907831416478,-0.48805279698033,0.180878704452362,-0.629601502645452,-0.521667796666645,0.306484324163155,-0.567564424162782,0.369050075862815,0.61862974851267,0.489272358777823,-0.525328575130767,0.485642586110548,-0.518201309686961,-0.505942869789658,0.441852288878176,0.371063801947983
"639V_URINARY_TRACT",1,0.331838850914892,-0.496448146810141,-0.526005354758422,-0.47136494369347,-0.0553604047317874,-0.510915587158838,-0.677887111336648,-0.689560441191017,-0.498205753511038,0.561242169147518,-0.532292182888515,0.144820502834951,0.864746842291405,-0.542820655568897,-0.480873402877522,-0.107850019143219,-0.515229069037429,-0.481267390512249,-0.279231888749486,-0.567564424162782,0.126801418323699,-0.136447221691059,0.425641780242168,-0.45564062609919,0.0405782756151391,-0.474469828700243,-0.48524360667765,0.378373493922835,-0.301302226816217
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1,-2.13598048391819,2.08957617827644,1.48703575029405,1.6245025796876,-1.83864977582256,2.2938895350537,2.60168079813514,1.33614665668379,1.66110325244517,-0.234240971138659,2.49389502479687,-2.16418818143451,-1.73289185735875,3.2612597721011,2.05964271295172,-1.98878974701206,2.53395853986504,2.29687870746583,-0.549188796434523,0.803158037459635,-1.12606244414167,-2.01934561734565,-2.31877551445256,2.09986645036114,2.60176085379383,1.89223016371034,2.13811348587407,-1.56384772886525,-1.79459736319481
"769P_KIDNEY",1,0.620133139526862,-0.489687443726968,-0.468925193644376,-0.496347000063941,0.283828373025157,-0.537880644632532,-0.677887111336648,-0.622487790608965,-0.504669889601887,0.597156346163686,-0.694242086120801,0.976847814304938,0.371893862233805,-0.542820655568897,-0.473764052760636,0.702082036353194,-0.59291268412729,-0.413170620872348,0.207072885839856,-0.567564424162782,1.47644803154448,1.00224960629883,0.143425591377562,-0.602741663968424,-0.851068152624099,-0.468452855194114,-0.465138663629626,0.6860337504919,0.197881236176807
"8305C_THYROID",1,1.3684585662473,-0.496448146810141,-0.44226973831545,-0.487938137391964,0.688035741616997,-0.409545014687683,0.891872125787577,-0.695999551000731,-0.41949990634932,1.12269262225316,-0.6057318926906,0.739773031591297,1.03084385329067,0.36946657841309,-0.387149584355033,0.161273933761181,-0.435802615204347,-0.336895102061193,0.941222010842432,-0.553415123949995,1.53794215001761,0.831168071064281,0.604832886536146,-0.503136841251887,-0.583254840961835,-0.155056180809607,0.163177030453103,0.738762178975368,0.741079711360599
"8505C_THYROID",1,0.84160430809444,-0.489687443726968,-0.491120836578152,-0.487938137391964,-0.190624742619847,-0.490204108186122,-0.695924728770555,-0.709063818992133,-0.324091157491062,0.858357469429416,-0.532292182888515,0.585296811265749,1.22716087649864,-0.524725978236728,-0.4667233930908,0.515813412673662,-0.540420384083192,-0.35025094113408,0.0488245027195508,-0.532703056025147,0.616999826258984,0.546410132681828,1.32427706890856,-0.425679715185994,-0.840440603791747,-0.480542258964939,1.50752587147588,1.2196148919369,0.458651652070201
"A172_CENTRAL_NERVOUS_SYSTEM",1,0.414214199633596,-0.496448146810141,-0.474398888767242,-0.487938137391964,0.573324818532567,-0.490204108186122,-0.520931157661542,-0.405627855955986,0.120744663457221,0.547074855491149,-0.476097265516573,1.15028490276858,1.26591879848047,-0.391264372644277,-0.4667233930908,0.866658583622104,-0.321162925029012,-0.513428484201071,0.383121407528536,-0.560454750463818,1.31710856061612,0.949886882184215,0.9555725380597,-0.369355493699613,-0.387572501616367,1.35752924614869,-0.420357029199326,0.853054487506369,0.314077138880936
"A204_SOFT_TISSUE",1,-0.011847470212295,-0.378077168842581,-0.350429270462538,-0.487938137391964,-0.301043048561575,-0.422994760590467,-0.473181614825698,-0.462821311447256,-0.41949990634932,1.28215895690091,-0.394040595084874,-0.0419995264789907,0.436283272195831,-0.457133985542155,-0.425850852517806,0.894986858272036,0.912886889281099,-0.237160379154721,-0.495762953340881,-0.512574504924446,-0.991941157625609,-1.47971464624038,-0.0175692121822503,-0.140639916912134,-0.597987474009669,-0.353339885483707,-0.445594862644324,0.91551218946179,1.02488600219129
"A2058_SKIN",1,0.396214236569229,-0.496448146810141,-0.416729906656993,-0.47136494369347,0.365017586171198,-0.505668572794506,-0.611167356650533,-0.664397527519642,-0.485465459882019,0.690981827857175,-0.592987317476878,0.769246478615353,0.836485362309343,-0.47336461559902,-0.473764052760636,0.469236153660261,-0.575089167977791,-0.442746767391739,0.534384616465767,-0.546444177814121,0.45003612311796,0.976601645148912,0.704889135653396,-0.58410106848953,-0.660249369008368,-0.427805799261102,-0.471776382353245,0.832870645373062,1.45529291899164
